,judul,konten,kategori
723,"Lagi Lockdown, Pasangan Ini Malah 'Ena-ena' di Taman","Inggris memperpanjang kebijakan lockdown. Sementara itu, pasangan ini malah ena-ena di taman terbuka.Meski lockdown karena pandemi Corona, Pemerintah Inggris masih memperbolehkan warganya untuk keluar rumah sekali sehari. Biasanya penduduk akan berbelanja atau jalan-jalan sore. Setiap sore, seorang wanita berolahraga di Taman Llyod, Croydon, London. Lagi asyik foto-foto matahari terbenam di sekitar taman, wanita ini melihat hal yang mengejutkan.Wanita tersebut melihat sepasang orang di area terbuka. Pasangan tersebut terlihat berguling-guling. Setelah semakin dekat, wanita tersebut sadar bahwa pasangan tersebut sedang bercumbu.Saking terkejutnya, wanita tersebut tidak dapat berbicara. Di sebelahnya ada pasangan lansia yang juga melihat aksi tak senonoh tersebut. ""Saya memutuskan untuk merekam aksi mereka dan melaporkannya ke polisi setempat,"" ujar saksi wanita yang tak disebutkan namanya. Pasangan tersebut tak sadar bahwa mereka tengah jadi tontonan. Menurut saksi, pasangan tersebut tidak bugil, hanya menarik turun celana jins yang mereka kenakan.",travel
724,"Lagi-lagi karena Corona, 450 Karyawan KFC Dirumahkan","Kentucky Fried Chicken (KFC) Indonesia mulai merumahkan karyawannya imbas virus Corona (COVID-19). Setidaknya sampai saat ini sudah ada 450 karyawan KFC yang dirumahkan.Direktur PT Fast Food Indonesia, Justinus Dalimin Juwono mengatakan keputusan merumahkan karyawan didasari karena situasi sedang sulit. Banyak gerai KFC tidak boleh beroperasi selama diberlakukannya Pembatasan Sosial Berskala Besar (PSBB).""Karyawan dirumahkan karena gerai-gerai tersebut saat ini ditutup dan tidak boleh beroperasi. Seperti di mal atau plaza dan gerai lainnya karena peraturan daerah yang menetapkan akibat COVID-19 yang sedang terjadi di negara kita,"" kata Justinus kepada detikcom, Kamis (16/4/2020).Jumlah karyawan yang dirumahkan tersebut berasal dari seluruh gerai KFC di Indonesia. Paling banyak terjadi di pusat-pusat kota yang telah menerapkan kebijakan PSBB.Pihaknya menjanjikan para karyawan yang dirumahkan akan dipekerjakan kembali setelah pandemi Corona berakhir.""Karyawan tersebut akan bekerja lagi kalau suasana COVID-19 ini dinyatakan oleh pemerintah telah pulih kembali,"" ucapnya.",finance
725,Laju Rupiah Diproyeksi Bertahan di Rp 15.000/US$ Akhir Tahun,"Bank Indonesia (BI) menyebut nilai tukar rupiah terhadap dolar AS saat ini masih naik turun. Namun BI optimistis rupiah akan menguat ke arah Rp 15.000 hingga akhir tahun.Gubernur BI Perry Warjiyo menjelaskan angka Rp 15.000 bukanlah target dari bank sentral. ""BI tidak pernah menargetkan nilai tukar. Nilai tukar itu bekerja sesuai dengan mekanisme pasar dan tentu saja dipengaruhi dua faktor utama,"" kata Perry dalam video conference di Jakarta, Rabu (22/4/2020). Dia menyebutkan faktor yang mempengaruhi adalah fundamental dan teknikal. ""Tadi saya jelaskan rupiah sekarang itu undervalued. Kenapa undervalued kalau diukur secara fundamentalnya. Dengan inflasi rendah, current account deficit rendah. Mestinya bisa menguat,"" jelas dia.Perry mengatakan pergerakan nilai tukar di level Rp 15.500 murni merupakan faktor teknikal karena premi risiko yang tinggi akibat ketidakpastian di pasar keuangan global maupun dalam negeri. Selain itu, faktor teknikal seperti harga minyak dunia yang jatuh, perselisihan antara Saudi dan Rusia yang belum tuntas hingga geopolitik di semenanjung Korea juga turut mempengaruhi.Tak hanya faktor negatif, ada pula faktor positif yang mempengaruhi pergerakan nilai tukar rupiah. Misalnya dari sisi global ada rencana pembukaan lockdown di sejumlah kota di negara lain. Kemudian dari sisi domestik, penerapan pembatasan sosial berskala besar (PSBB) yang sudah disetujui turut mempengaruhi kepercayaan pasar. ""Kita ikuti laporan ketua gugus tugas, berbagai langkah dilakukan dan mendukung faktor positif di dalam negeri,"" jelas Perry.Perry menambahkan saat ini pergerakan nilai yang naik turun tak perlu dikhawatirkan. BI menyebut rupiah akan menguat ke posisi Rp 15.000 per dolar AS pada akhir tahun.",finance
726,"Laksa Salmon Lebih Rendah Lemak, Penggugah Selera Buka Puasa","Wah, tidak terasa puasa tinggal menghitung hari. Agar momen puasa menjadi lebih istimewa, ada baiknya pilihlah menu berbuka puasa bersama keluarga yang menggugah selera. Namun, pastikan menu yang Anda pilih juga lebih rendah lemak sehingga selama bulan Ramadan kesehatan Anda dan keluarga bisa tetap terus terjaga.Dalam rangka menghadirkan menu Ramadan yang sehat dan lezat, Tropicana Slim Santan mempersembahkan Laksa Salmon sebagai santapan berbuka bersama keluarga. Tak hanya lezat dan menggugah selera, menu yang bisa disantap hingga 2 orang ini juga lebih rendah lemak dan mudah sekali untuk dibuat. Berikut bahan dan cara membuat menu khas Ramadan Laksa Salmon.Bahan-bahan:Bumbu halus:Kuah laksa:Garnish/hiasan:Cara membuat:1. Masukan air kaldu dan bahan - bahan kuah laksa, masak hingga agak asat kurang lebih 20 menit.2. Tumis bumbu halus dan rempah hingga bau langu hilang, lalu masukkan ke dalam kuah laksa.3. Seduh Tropicana Slim Santan dengan sedikit kuah laksa hingga larut lalu masukkan kembali ke dalam kuah, aduk rata.4. Susun shirataki, tauge jepang, telur dan tahu goreng yang sudah dipotong - potong di dalam mangkok.5. Persiapkan ikan salmon yang telah dipotong dadu lalu celupkan di kuah laksa yang panas. Tunggu hingga ikan matang lalu susun di mangkok.6. Siram kuah laksa ke dalam piring lalu berikan taburan daun kemangi dan bawang putih goreng.Bagaimana, mudah sekali bukan? Menu sehat Ramadan ini cocok sekali untuk dijadikan hidangan berbuka puasa bersama keluarga. Dalam rangka menyambut bulan Ramadan, dapatkan diskon produk Tropicana Slim hingga Rp 35.000. Adapun diskon ini bisa didapatkan dengan menggunakan voucher ""SAMBUT-RAMADHAN"" dan voucher merchant di blibli.com",food
727,Lakukan Tips Ini Buat Bertahan di Rumah,"Tak sedikit traveler yang merasakan kebosanan akibat tinggal di rumah selama pandemi corona. Coba lakukan tips dan trik ini di rumah biar lebih positif.Biasanya mungkin sekarang kamu lagi nongkrong sam temen-temen kamu di cafe cantik atau lagi ngerjain tugas kelompok sama yang lainnya. Tapi, situasi yang sekarang ini mengharuskan kita untuk stay di rumah atau work from home . Untuk mengatasi rasa bosan di rumah terus, simak beberapa tips and trick untuk tetap asik walau di rumah.1. Perdalam Hobi atau Cari Hobi BaruBagi yang punya hobi seperti membaca atau hobi yang tidak perlu keluar dapat memperdalam hobi kalian di saat seperti ini. Selain itu, kini juga sudah banyak online store yang menjual buku atau hal lainnya. Tetapi apabila hobi kamu travelling atau hiking, mungkin kamu harus cari hobi baru nih untuk isi waktu luang kamu. Banyak hal yang dapat kamu lakukan di saat ini seperti memasak, main game atau menyanyi.2. Merawat dan Mempercantik DiriNah di ksaat kaya gini, penting banget tuh untuk merawat dan mempercantik diri. Apalagi dengan kondisi yang tidak perlu keluar sama sekali, hasil yang didapat pun akan lebih baik. Kamu dapat merawat dan mempercantik diri melalui skincare, lulur, cream bath, atau lainnya. Bagian terpenting dalam merawat dan mempercantik diri adalah konsisten agar hasilnya sesuai dengan yang diharapkan.3. Streaming Drama / Film / Variety Show / MusicStreaming merupakan kegiatan online yang menyenangkan sih. Banyak hal yang bisa kamu streaming nih seperti drama, film, variety show, live music, gaming, dan lain-lain. Di saat seperti ini kamu tidak perlu takut untuk ketinggalan acara-acara tersebut mengingat kamu memiliki waktu yang cukup untuk menontonya. Selain itu, jangan lupa sediakan kuota internet yang cukup untuk menonton ya.4. Online CourseBagi yang hobinya belajar, selama di rumah kamu bisa mencoba online course yang diadakan oleh berbagai lembaga nih. Banyak skills serta ilmu menarik yang bisa kamu dapatkan melalui online course ini. Selain itu, kamu juga bisa mendapat sertifikat setelah selesai mengkuti segala kegiatan online course tersebut. Karena tersedia secara online kamu bisa mencoba banyak hal-hal baru hingga yang tidak sesuai dengan jurusanmu.5. Hidup SehatDaripada rebahan terus lebih baik mulai hidup sehat. Hidup sehat dapat dimulai dengan makan-makanan sehat dan olahraga. Kedua kegiatan tersebut dapat dilakukan sepanjang waktu apalagi jika kalian memiliki impian untuk memiliki body goals.Di saat seperti ini cocok banget untuk memulainya karena kamu tidak perlu khawatir apabila kamu tidak punya waktu untuk melakukannya. Mungkin setelah kondisi ini berakhir, kamu bisa punya body goals dan hidup yang semakin sehat lho.Yang terpenting adalah manfaatkan waktumu sebaik-baiknya. Jangan sampai kamu hanya berdiam diri dan tidak melakukan apa-apa ya.",travel
728,"Lapangan Kerja Makin Susah, RUU Cipta Kerja Bisa Jadi Solusi?","Kepala Departemen Ekonomi Centre for Strategic and International Studies (CSIS) Yose Rizal Damuri menilai RUU Cipta Kerja adalah bagian dari reformasi ekonomi di Indonesia. Yose menjelaskan salah satu masalah ekonomi yang perlu direformasi adalah sulitnya menciptakan lapangan kerja yang berkualitas.""Adanya fakta menciptakan lapangan kerja yang berkualitas di Indonesia ini bukan hanya susah tapi makin lama makin susah. Jadi bukan hanya karena sulit. Kalau sulit namun kemudian makin lama makin baik itu tidak apa-apa, bagus, paling tidak ada kemajuan tetapi ini kita bisa lihat bahwa sudah sulit makin lama makin sulit,"" kata Yose Rizal dalam pemaparannya menanggapi hasil survei Departemen Statistika IPB dan Cyrus Network, Jumat (17/4/2020).Menurut Yose, masalah ketersediaan lapangan pekerjaan yang berkualitas di Indonesia disebabkan lemahnya permintaan terhadap tenaga kerja Indonesia.""Kuncinya adalah meningkatkan permintaan akan tenaga kerja melalui investasi berkualitas dengan Reformasi Ekonomi yang serius,"" kata Yose Rizal.""Ini sangat urgent dilakukan, momentumnya sangat penting karena saat recovery ekonomi terjadi kita bisa ketinggalan dibanding yang lainnya. RUU Cipta Kerja ini bagian dari itu, sehingga cukup urgent untuk dilakukan. Tapi perlu ada proses komunikasi yang intens,"" kata Yose Rizal.Saat ini RUU Cipta Kerja tengah dibahas oleh Badan Legislasi (Baleg) DPR RI. Ketua Baleg DPR RI Supratman Andi Agtas mengatakan Baleg tetap menghormati dan mendengarkan suara dan pendapat dari beberapa serikat pekerja. ""Masukan dari teman serikat pekerja, kami apresiasi. Kita sudah katakan berkali-kali pembahasan kluster ketanagakerjaan itu paling akhir. Jadi masih sangat jauh,"" ujar Supratman.Supratman juga menyatakan dalam 11 kluster di RUU Cipta Kerja tidak semuanya ditolak oleh publik. ""Ada beberapa bahkan diterima dengan baik oleh masyarakat seperti permudahan pembentukan UMKM dan koperasi. Nah inilah yang akan kita bahas terlebih dulu,"" ungkap politisi asal Sulsel tersebut.",finance
729,Lapangan Terbang Diubah Jadi Kamar Jenazah Sementara,"Frekuensi penerbangan berkurang selama wabah Corona. Inggris pun akan memanfaatkan Bandara Southampton sebagai kamar jenazah sementara untuk kawasan Hampshire, Portsmouth dan Southampton.Saat wabah Corona, Bandara Southampton hanya melayani penerbangan ke Jersey dan Guernsey. Penerbangan itu hanya dilakukan di saat jam makan siang.Mengutip BBC, Kamis (16/4/2020) area yang akan digunakan untuk menyimpan jenazah adalah sebuah lokasi yang sudah disiapkan secara khusus. Lokasi ini sepenuhnya terpisah dari terminal penumpang, yang dikenal sebagai Situs Grayson.""Penting untuk mempersiapkan segala sesuatunya dengan baik,"" ujar Direktur Kesehatan Masyarakat Dewan Daerah Hampshire, Simon Bryant.""Saya ingin meyakinkan keluarga dan teman-teman mereka yang disimpan sementara di Situs Grayson, bahwa orang yang mereka cintai akan diperlakukan dengan hormat,"" imbuhnya.Dia juga menambahkan pihak berwenang sudah melakukan komunikasi yang intens dengan para pemimpin agama untuk memastikan bahwa setiap kebiasaan dan praktik yang diperlukan selama pengurusan jenazah akan dipantau setiap saat.Di Inggris jumlah kasus Corona cukup banyak, per Kamis 16 April ini menurut data John Hopkins Coronavirus Resource Center, angkanya sudah mencapai 99.516 kasus dengan jumlah kematian mencapai 12.686 orang.",travel
730,Larangan Mudik Ancam Dapur Keuangan Terminal Kampung Rambutan,"Sejumlah warga mulai terlihat mudik lebih awal seperti yang terlihat di Terminal Kampung Rambutan, Jakarta, Rabu (22/4/2020).",finance
731,Larangan Mudik Bakal Berdampak ke Industri Dalam Negeri?,"Presiden Joko Widodo (Jokowi) secara resmi melarang mudik Lebaran pada hari raya Idul Fitri 1441 H ke seluruh masyarakat. Sebelumnya, pelarangan itu terbatas untuk aparatur sipil negara (ASN), pegawai BUMN, dan TNI-Polri saja.Meski larangan mudik efektif untuk mencegah penyebaran virus Corona (COVID-19), akan tetapi aturan itu diyakini banyak pihak juga berdampak negatif terhadap pergerakan ekonomi selama Ramadhan dan Lebaran. Salah satunya terhadap penyerapan produksi industri dalam negeri.""Kita sudah mendengar, sudah mengetahui bahwa pemerintah sudah memutuskan untuk larangan mudik tentu pelarangan mudik ini pada satu titik dia akan berpengaruh terhadap penyerapan industri dalam negeri itu sendiri,"" ujar Menteri Perindustrian RI Agus Gumiwang Kartasasmita dalam konferensi pers virtual, Selasa (21/4/2020).Agus meyakini penyerapan industri tahun ini tentu tidak akan sama seperti penyerapan tahun-tahun sebelumnya. Menurutnya akan ada penurunan penyerapan industri yang cukup signifikan sepanjang tahun ini dibanding tahun-tahun sebelumnya.""Saya kira bisa kami duga bahwa penyerapan pasar, penyerapan masyarakat terhadap produk-produk yang dihasilkan oleh industri dalam negeri sekarang dalam lebaran tahun ini akan berbeda dengan lebaran pada tahun-tahun sebelumnya. Kita harus bisa siap dengan kenyataan bahwa akan ada penurunan penyerapan dari industri dalam negeri dari market kita sekarang,"" sambungnya. 

",finance
732,Larangan Mudik Bikin Permintaan Pangan di Jabodetabek Meningkat,"Presiden RI Joko Widodo resmi menerapkan larangan mudik lebaran mulai 24 April 2020 besok. Dengan begitu sejumlah jalan untuk orang keluar-masuk dari dan ke wilayah Jabodetabek akan ditutup total.Penerapan aturan ini akan menimbulkan anomali baru bagi permintaan pangan di Jabodetabek. Ikatan Pedagang Pasar Tradisional (Ikappi) memprediksi akan adanya peningkatan permintaan pangan di Jabodetabek pasca-diterapkannya aturan larangan mudik tersebut.""Ya ini memang anomali. Saya agak sulit memprediksinya walaupun secara keseluruhan daya beli masyarakat tidak seperti tahun-tahun sebelumnya tetapi memang sesuai prediksi kami, itu pasti ada kenaikan permintaan. Terbukti kemarin dan hari ini ada peningkatan permintaan hingga 50%,"" ujar Ketua Umum Ikappi Abdullah Mansuri kepada detikcom, Kamis (23/4/2020).Lebih lanjut, Abdullah menambahkan bahwa kenaikan permintaan akan terjadi pada H-3 sampai H-1 menjelang ramadhan dan akhir ramadhan serta H-5 sampai H-3 menjelang lebaran dan pascalebaran. Peningkatan permintaan ini dikhawatirkan akan membuat pemenuhan pangan di luar Jabodetabek tersendat. Pasalnya, menurut Abdullah, 35% kebutuhan pangan nasional itu berada di Jabodetabek. ""Biasanya itu di Jakarta ada penurunan cukup drastis penjualan dan pembelian masyarakat terhadap lebaran tahun-tahun sebelumnya. Apakah tahun ini ini akan mengalami hal yang sama atau tidak? Dengan adanya pelarangan mudik ini saya kira akan berdampak pada tersendatnya pasokan dan ini yang harus diselesaikan bersama oleh kita,"" paparnya.",finance
733,"Layani Pembeli, Pekerja Toko Emas Kenakan Pelindung Wajah","Sejumlah pegawai toko menggunakan masker dan alat pelindung wajah (face shield) di toko emas Rejeki, Pasar Bogor, Jawa Barat, Kamis (16/4/2020).",finance
734,"Lebih Indah Saat Corona, Venesia Akan Batasi Turis di Masa Depan?","Keindahan kanal, gondola dan suasana romantis Italia menjadi paket komplit di Venesia yang membuat kota itu selalu kebanjiran turis. Imbas virus Corona, Venesia bakal lebih selektif menyaring wisatawan.Venesia di Italia itu mampu menyedot 30 juta turis di tahun 2018. Jumlah wisatawan itu bahkan sampai membuat warga lokal tak nyaman.Sungai di Venesia yang menjadi salah satu 'jualan' wisata utama dengan pelancong diajak untuk menyusuri menggunakan perahu bahkan berair keruh. Polusi udara juga menjadi persoalan lain di kota itu.Hingga kemudian virus Corona datang. Venesia pun menutup diri untuk menekan penyebaran COVID-19. Ternyata pandemi Corona tak melulu membawa kisah luka, namun Venesia diuntungkan. Jalanan yang biasanya padat, sekarang kosong. Kanal yang penuh turis naik gondola sekarang dihuni ikan-ikan cantik dan angsa. ""Beberapa bulan lalu kami bahkan tak bisa berpapasan di jalan, tapi sekarang jalanan kosong,"" ujar Matteo Secchi dari Venesia Association.Italia yang menjadi epicentrum virus Corona di Italia memang harus menelan pil pahit, salah satunya di sektor wisata. Tapi, justru di saat inilah pegiat wisata mendapatkan pelajaran berharga.Keindahan Venesia yang terlihat kembali membuat Wakil Wali Kota Venesia, Simone Venturini, mempertimbangkan model wisata yang lebih baik di masa depan. Bahkan, termasuk membatasi jumlah turis yang masuk ke kota itu. ""Pada awalnya kami berharap satu dua bulan, lalu 3-4 bulan. Kami melihat pergerakan akan pulih di bulan Februari-Maret 2021,"" ujar Marianna Serandrei, Pemilik Grup Hotel Capisini.turis.""Ini akan menjadi kesempatan Venesia untuk berubah ke pariwisata yang lebih cerdas. Turis akan diajak untuk memahami Venesia, tak ada lagi tur yang ramai di satu waktu,"" Simone menimpali. Langkah ini diakui sulit, mengingat kota ini begitu bergantung pada pariwisata. Tapi, andai air kanal jernih dan ikan yang tadinya tak muncul bisa berenang bebas, bukankah Venesia bakal lebih indah?",travel
735,"Legenda dan Cerita Putri Mandalika, Kisah Tragis di Pantai Pulau Lombok","Pulau Lombok di Nusa Tenggara Barat menyimpan banyak keindahan alam, termasuk di Pantai Putri Nyale. Lokasi ini ternyata juga memiliki legenda tentang Putri Mandalika.Legenda Putri Mandalika telah banyak diketahui dan disukai oleh orang sekitar. Bahkan, di antaranya sampai membuat film atau drama menggunakan bahasa Sasak atau Inggris untuk mengingat terus kisah ini.Nama pantai Putri Nyale diambil dari legenda Putri Mandalika yang berubah menjadi Nyale atau cacing. Dikisahkan, dahulu kala hidup seorang putri bernama Putri Mandalika.Putri Mandalika dikenal sebagai seseorang yang memiliki paras cantik dan baik hati. Karena semua keistimewaannya, ia dilamar oleh banyak pangeran dan pemuda.Sang Raja pun meminta Putri Mandalika untuk memilih lamaran siapa yang akan diterima. Ia pun pergi bersemedi untuk memilih yang terbaik dari semua lamaran yang datang.Sampai lah pada keputusan. Ia meminta semua orang, termasuk pangeran dan pemuda yang melamarnya berkumpul di pantai Putri Nyale yang juga dikenal sebagai pantai Seger (kuta Lombok).Ia berdiri di atas batu besar dan menyampaikan beberapa kata. Dalam ucapannya, ia berharap agar tidak ada perpecahan atau peperangan karena memperebutkan dirinya.Usai mengucapkan hal itu, Putri Mandalika memutuskan untuk terjun ke dalam laut. Semua orang lantas mencarinya, sayang sang Putri tidak ditemukan.Mereka yang mencarinya justru menemukan cacing berwarna-warni yang diberi nama Nyale. Cacing tersebut dipercaya sebagai jelmaan Putri Mandalika yang hilang.Dari kisah itu, penduduk sekitar akhirnya selalu melaksanakan acara Bau Nyale. Acara tersebut diperingati dengan mencari cacing pada tanggal 20 bulan 10 pada penanggalan suku Sasak atau hari di mana sang Putri hilang di laut.Untuk mengingat terus amanat legenda Putri Mandalika untuk rela berkorban, dibangun sebuah monumen yang menggambarkan kejadian sang Putri berdiri di atas batu.",travel
736,Lengkap! Hasil Rapat soal Nasib Investasi di Tengah Corona,"Komisi VI DPR RI hari ini menggelar rapat kerja (raker) dengan Kepala Badan Koordinasi Penanaman Modal (BKPM) Bahlil Lahadalia. Rapat digelar secara virtual yang ditayangkan di situs web DPR RI.Rapat dipimpin Wakil Ketua Komisi VI DPR M Hekal sekitar 11.35 WIB dan rampung 15.08 WIB. Rapat yang berlangsung sekitar 3,5 jam itu menghasilkan 7 kesimpulan yang disepakati oleh Komisi VI dan BKPM. Berikut hasilnya:1. Komisi VI DPR RI mengapresiasi kinerja BKPM RI yang telah mencatatkan peningkatan realisasi penanaman modal pada triwulan I Tahun 2020 sebesar 8% dibandingkan periode yang sama di Tahun 2019 meski pada situasi wabah Pandemi Covid-19.2. Komisi VI DPR RI meminta BKPM RI untuk tetap dapat menjalankan tugas pokok dan fungsi di tengah keterbatasan anggaran yang ada.3. Komisi VI DPR RI meminta BKPM RI untuk menyelesaikan penyusunan big data investasi yang akan mengintegrasikan investasi di sektor pertambangan (blackgold), sektor pertanian, perkebunan (greengold), sektor kelautan (bluegold) dan pariwisata dalam satu kesatuan wilayah pusat, provinsi dan kabupaten/kota sehingga pembangunan Indonesia lebih terarah dan terencana dengan baik. Progress penyusunan big data ini agar dilaporkan kepada Komisi VI DPR RI secara berkala.4. Komisi VI DPR RI meminta BKPM RI menyampaikan data terbaru realisasi investasi PMA dan PMDN, serta insentif investasi apa saja yang telah dikeluarkan pada masa Pandemi Covid-19.5. Komisi VI DPR RI mendorong BKPM RI untuk terus melakukan pendampingan kepada calon investor baik PMA maupun PMDN, sehingga kepercayaan dunia usaha tetap terjaga dan realisasi investasi dapat segera menggerakkan arus perekonomian Indonesia pasca Pandemi Covid-19.6. Komisi VI DPR RI mendorong BKPM RI untuk menata kembali strategi penumbuhan investasi dan lebih selektif dalam melakukan deregulasi dan insentif terhadap investor yang memang memiliki visi yang sama dengan pembangunan ekonomi Indonesia, yaitu peningkatan kualitas SDM, peningkatan nilai komoditas ekspor dan berdaya saing tinggi, penyerapan tenaga kerja domestik, transfer teknologi dan pengetahuan, penguatan swasembada pangan dan industri hulu dalam negeri serta penumbuhan wirausaha di Indonesia.7. Komisi VI DPR RI meminta BKPM RI untuk memberikan jawaban secara tertulis dalam waktu paling lama 10 (sepuluh) hari kerja atas pertanyaan Anggota Komisi.",finance
737,"Lewat Mesin ATM, Warga Bisa Dapat 1,5 Kg Beras Gratis Setiap Hari","Mesin ATM Beras yang bernama ATM Pertanian Sikomandan sudah diluncurkan di Jabodetabek. Mesin tersebut menampung 1,5 ton beras untuk 1.000 orang per harinya. Sehingga, per orang bisa memperoleh 1,5 kg beras secara cuma-cuma.ATM beras ini diluncurkan melalui kerja sama Kementerian Pertanian (Kementan) dan TNI Angkatan Darat (AD). Terdapat 10 titik yang menjadi lokasi penempatan ATM beras. Penempatan ATM ini berlokasi di 10 Kodim.""Sebagai langkah awal, ada 8 ATM Sikomandan yang ditempatkan di 8 Kodim di Jakarta dan Depok, kemudian 2 ATM Sikomandan lagi yang ditempatkan di 2 Kodim di sekitar Bogor,"" kata Kadispenad Kolonel Inf Nefra Firdaus dalam keterangan resminya, Kamis (23/4/2020).Saat ini, daftar warga Jabodetabek yang bisa memperoleh beras gratis tersebut tersedia di masing-masing kodim. Nantinya, warga yang terdaftar sebagai penerima tinggal mendatangi Kodim, lalu akan memperoleh kartu dari Bank Negara Indonesia (BNI) untuk mengakses mesin tersebut.""Termasuk TNI AD, dimana Kasad bersama dengan Mentan serta BNI melakukan langkah terobosan untuk mengentaskan masyarakat miskin dari kesulitan yang dihadapinya,"" jelas Firdaus.Dalam kesempatan yang sama, Menteri Pertanian Syahrul Yasin Limpo mengatakan, pihaknya sudah mempersiapkan pasokan beras untuk memenuhi kebutuhan ATM tersebut sampai 2 bulan ke depan.""Untuk persediaan beras, kita siapkan untuk 2 bulan. Semuanya ikut terlibat dan dalam kurun waktu 1 atau 2 minggu akan kita evaluasi,"" ujar Syahrul.",finance
738,Lihat Aksi Wanita yang Hobi Main TikTok Pakai Baju Makanan,"TikTok bukan lagi jadi aplikasi untuk merekam aksi joget saja. Sekarang orang bahkan merekam aksi fashion show menggunakan TikTok. Seorang wanita asal China punya cara unik untuk eksis lewat aplikasi TikTok. Wanita cantik yang tak diketahui namanya ini kerap membuat video fashion show. Tapi uniknya, baju yang ia gunakan terbuat dari bahan makanan. Video berdurasi 20 detik ini diunggah lewat instagram @tiktoktrendy. Terlihat seorang wanita berganti kostum sebanyak 4 kali lantas berjalan layaknya model. Hal yang paling menarik perhatian jelas adalah pakaian yang ia kenakan. Baca juga : Kocak! Pria Ini Bikin Tutorial Masak Mirip Beauty Vlogger di TikTokBaju pertama yang ia pakai berupa gaun yang didominasi warna hijau, ternyata gaun ini tidak terbuat dari kain melainkan dari daun sawi. Bagian rok gaun ini sengaja dibuat berbentuk lebar. Lembar demi lembar daun sawi ditempelkan pada rok ini.Selanjutnya baju kedua terbuat dari daun bawang. Daun bawang ditata rapi hingga bisa dianyam layaknya baju lengan panjang. Kemudian bagian roknya sengaja dibuat mini. Sekilas baju daun bawang ini tampak trendy dan sesuai dengan model anak muda. Tak hanya sampai disitu, wanita ini juga mengenakan baju yang terbuat dari snack makanan ringan. Bagian atas dibuat menggunakan kue yang terbungkus kemasan sementara bagian bawahnya dibuat rok dari chiki. Wanita ini juga mengenakan anting dari kue yang membuat tampilannya maksimal.Terakhir ada baju yang terbuat dari irisan daging. Sekilas pakaian ini mirip gaun yang dikenakan Lady Gaga. Irisan daging sapi yang biasa dijadikan shabu-shabu ini ditata menjadi dress lengan panjang dengan bagian rok yang pendek. Untuk melengkapi tampilannya, wanita ini mengenakan sepatu booth, tas tangan dan kacamata. Gerak langkahnya mantap, sepertinya ia sudah menjadi model professional. Konten ini sukses menarik perhatian tapi sayangnya banyak orang justru mengkritik apa yang dilakukan wanita ini. Ratusan netizen menghujat ia karena dianggap membuang-buang makanan demi menarik perhatian banyak orang. Baca juga : Lucu! Kakek 81 Tahun Ini Main TikTok Sambil Masak""Ini bukan fashion, ini kebodohan,"" kata satu netizen.""Apakah kau berpikir kalau kau hanya membuang makanan. Pikir ulang, masih banyak yang butuh makan,"" sahut netizen lainnya. ",food
739,Lihat Lagi Momen Kulineran Lee Min Ho yang Main 'The King: Eternal Monarch',,food
740,Lihat Lagi Omongan Erick Thohir soal Mafia Alat Kesehatan,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyebut soal adanya mafia alat kesehatan. Hal itu terjadi karena impor alat kesehatan Indonesia sangat besar.Erick mengatakan, saat ini Indonesia masih 90% impor alat kesehatan dari luar negeri. Hal itu menjadi peluang bagi mafia-mafia alat kesehatan yang memanfaatkan momen tersebut.""Saya mohon maaf kalau menyinggung beberapa pihak, janganlah negara kita yang besar ini selalu terjebak praktik-praktik yang kotor, sehingga tadi, alat kesehatan musti impor, bahan baku musti impor,"" kata Erick melalui live streaming di akun Instagram miliknya, Kamis (16/4/2020).""Kalau kita tidak gotong-royong, tidak bangun bangsa kita dengan diri sendiri, memang bangsa lain peduli? Kita yang harus peduli pada bangsa kita. Jangan semua ujung-ujungnya duit terus, dagang terus, akhirnya kita terjebak short term policy. (Impor alat kesehatan) Didominasi mafia, trader-trader itu, kita harus lawan dan ini Pak Jokowi punya keberpihakan itu,"" tambahnya.Ia pun menyayangkan Indonesia yang masih sangat bergantung dengan impor. Sebagai negara yang besar seharusnya Indonesia bisa mengurangi impor tersebut.""Negara sebesar Indonesia sudah seyogyanya punya strategi yang namanya energy security, food security dan health security. Sangat menyedihkan jika negara sebesar Indonesia 90% bahan bakunya dari luar negeri untuk industri obat, sama juga alat kesehatan mayoritas dari luar negeri,"" ungkap Erick melalui live streaming di akun Instagram miliknya, Kamis (16/4/2020).Apa strategi Erick Thohir? 

",finance
741,Lihat Lagi Penampakan Bandara Tersibuk di Jepang yang Kini Sepi,"Tokyo - Bandara Internasional Narita dan Haneda di Jepang kini tampak sepi terkena imbas dari pandemi Corona. Penampakannya pun bak bandara 'hantu'.Bandara Narita dan Haneda biasanya mampu melayani 100 juta penumpang dalam setahun. Kedua bandara ini biasanya sibuk namun sejak Corona menjangkiti dunia, bandara-bandara ini sepi pengunjung. (Foto: Jae C.Hong/AP)",travel
